,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,スライド,章
115,センサ用インターフェース回路の3つの主な役割に含まれないものはどれか。,信号変換（A/D変換など）,増幅,フィルタリング,発電,4,信号の処理（変換・増幅・ノイズ除去）が主な役割です。,24. 回路の役割,12
116,多くのセンサが出力する信号（アナログ）をマイコン（デジタル）で扱うために必要な変換はどれか。,D/A変換,A/D変換,AC/DC変換,DC/DC変換,2,Analog to Digital 変換が必要です。,24. 信号変換,12
117,インターフェース回路で「増幅」が必要となる主な理由は何か。,センサの信号（生体信号など）が微弱でマイコンが認識できないため,マイコンの処理速度が遅すぎるため,電流を減らして省電力化するため,ノイズを増やすため,1,脳波や筋電位などは非常に電圧が低いため、マイコンで扱える電圧（3.3V/5V等）まで増幅する必要があります。,24. 増幅の必要性,12
118,オペアンプ（演算増幅器）の特性として正しい記述はどれか。,増幅率が非常に低い,増幅率が非常に高く、理想的には無限大である,デジタル信号しか扱えない,入力インピーダンスが非常に低い,2,非常に高い増幅率（105倍以上）を持ちます。,25. オペアンプ,12
119,反転増幅回路の特徴として正しいものはどれか。,入力と出力の極性（位相）が反転する,入力電圧がそのまま出力される,入力と出力の極性が同じである,電圧が必ず0Vになる,1,プラスの入力に対してマイナスの出力（またはその逆）となります。,25. 反転増幅回路,12
120,反転増幅回路において、入力抵抗R1=1kΩ、フィードバック抵抗R2=10kΩ、入力電圧Vin=0.1Vのとき、出力電圧Voutはいくらか。,1.1V,−1.0V,−1.1V,10V,2,Vout=−(R2/R1)×Vin=−(10/1)×0.1=−1.0V です。,25. 反転増幅の計算,12
121,非反転増幅回路において、増幅率（ゲイン）を表す式はどれか。,−(R2/R1),1+(R2/R1),R1/R2,1−(R1/R2),2,入力電圧の極性を変えずに増幅します。ゲインは常に1以上になります。,25. 非反転増幅,12
122,差動増幅回路の機能として正しいものはどれか。,2つの入力電圧の「和」を増幅する,2つの入力電圧の「差」を増幅する,2つの入力電圧の「積」を増幅する,片方の入力電圧だけを増幅する,2,ノイズ除去などに有効な、2信号間の電位差を増幅する回路です。,25. 差動増幅回路,12
123,電圧加算回路（反転加算回路）の出力電圧の式（R1=Rfの場合）として正しいイメージはどれか。,Vout=−(V1+V2),Vout=V1−V2,Vout=V1×V2,Vout=V1/V2,1,複数の入力電圧を足し合わせ、極性を反転して出力します（抵抗比によるゲイン倍も含む）。,26. 加算回路,12
124,抵抗(R)とコンデンサ(C)だけで構成される、電源を必要としないフィルタを何と呼ぶか。,アクティブフィルタ,パッシブフィルタ,デジタルフィルタ,ノイズフィルタ,2,オペアンプ等を使うものをアクティブ、受動素子のみをパッシブと呼びます。,26. フィルタ回路,12
125,ハイパスフィルタ(HPF)の特性として正しいものはどれか。,低い周波数を通過させ、高い周波数を遮断する,高い周波数を通過させ、低い周波数を遮断する,全ての周波数を通過させる,特定の周波数だけを遮断する,2,High（高い方）をPass（通過）させるフィルタです。,26. ハイパスフィルタ,12
126,ローパスフィルタ(LPF)の回路構成として正しいものはどれか（入力から見て）。,コンデンサが直列、抵抗が並列,抵抗が直列、コンデンサが並列,コイルが直列、抵抗が並列,抵抗とコンデンサが両方直列,2,抵抗を通った後、コンデンサで高周波をGNDに逃がす構成です。,26. ローパスフィルタ,12
127,RCフィルタ回路における遮断周波数（カットオフ周波数）f を求める式はどれか。,f=2πCR,f=1/(2πCR),f=CR/2π,f=1/(CR),2,f=1/(2πCR) で計算されます。,27. 遮断周波数,12
128,電気・電子回路の制作における一般的な流れとして正しい順序はどれか。,基板制作 → 回路図設計 → 試作,試作（ブレッドボード）→ 基板制作 → 回路図設計,回路図設計 → 試作（ブレッドボード）→ 基板制作,基板制作 → 試作 → 回路図設計,3,まず回路図を描き、ブレッドボードで動作確認をしてから、最終的な基板を制作します。,28. 制作フロー,13
129,回路図において、配線が十字に交差している場所に「●（黒丸）」がある場合、その意味は何か。,配線は接続されている,配線は接続されていない（立体交差）,そこに抵抗がある,そこにスイッチがある,1,交点に●がある場合は「接続」、ない場合は「非接続（またいでいる）」を意味します。,28. 回路図記号,13
130,回路図における「グランド（GND）」記号の接続先として正しいものはどれか。,電源のプラス端子,全ての電源のグランド（0V端子）,何も接続しない,交流電源の入力,2,GNDは回路の基準電位（0V）となる共通の接続点です。,28. 電源とGND,13
131,現在の日本において、回路図記号の規格として参照されているものはどれか。,JIS C0617 (IEC 60617),ISO 9001,IEEE 802.11,ANSI C,1,旧JISからIEC準拠のJIS C0617（四角い抵抗記号など）に移行しています。,28. 規格,13
132,ブレッドボードの特徴として誤っているものはどれか。,はんだ付けなしで回路が組める,内部で特定の列がつながっている,振動に強く、ロボットの本番運用に最適である,試作や実験に便利である,3,部品が抜けやすく接触不良が起きやすいため、動きのあるロボットや恒久的な使用（卒研の本番機など）には不向きです。,29. ブレッドボード,13
133,ユニバーサル基板の特徴として正しいものはどれか。,部品を差し込むだけで使える,穴とランド（銅箔）があり、自由にはんだ付けして配線できる,最初から全ての回路がつながっている,絶縁体だけでできており電気を通さない,2,汎用的な穴あき基板で、自分ではんだ付けと配線を行う必要があります。,29. ユニバーサル基板,13
134,プリント基板（PCB）を使用する最大の利点は何か。,既に配線が形成されているため、はんだ付けや組み立てが容易で信頼性が高い,どのような回路に変更することも自由自在である,ブレッドボードと同じではんだ付けが不要である,ユニバーサル基板より価格が圧倒的に安い（1枚の場合）,1,専用に設計された配線パターンがあるため、配線ミスのリスクが減り、作業効率と信頼性が上がります。,29. プリント基板,13
135,「はんだ付け」とはどのような作業か。,金属を溶接して溶かし合わせること,接着剤で部品を固定すること,「はんだ」という合金を熱で溶かして、電気的に接合すること,銅線をねじって固定すること,3,部品と基板を電気的・機械的に接続する作業です。,30. はんだ付け,13
136,はんだ付けに失敗した時や、部品を外す時に使用する、はんだを吸い取る道具はどれか。,ニッパ,ラジオペンチ,はんだ吸い取り線,こて先クリーナー,3,銅を編んだ線で、溶けたはんだを吸い取ります。,30. 工具,13
137,電子回路において「コネクタ」を使用する主な理由は何か。,電流を増幅するため,ノイズを除去するため,基板とセンサなどを接続し、脱着（取り外し）を容易にするため,電圧を変換するため,3,メンテナンスや組み立てのために、配線を自由につなぎ外しできるようにします。,30. コネクタの役割,13
138,コネクタを構成する部品のうち、電気的な接続を行う金属部分（接触子）を何と呼ぶか。,ハウジング,コンタクト,ポスト,ベース,2,ハウジングは外側のプラスチック、コンタクトは中の金属ピン（端子）を指します。,30. コネクタ構造,13
139,資料に記載されているコネクタの規格（種類）に含まれないものはどれか。,XH,PH,QI,HDMI,4,"XH, PH, QIなどは内部配線用コネクタとして挙げられていますが、HDMIは（一般的にPC周辺機器用であり）このリストには含まれていません。",30. コネクタ規格,13
